species,trait,T,y,replicates
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,25,0.1,NA
sonorensis,nu,30,0.25,NA
sonorensis,nu,30,0.3333333333333333,NA
sonorensis,nu,30,0.125,NA
sonorensis,nu,30,0.16666666666666666,NA
sonorensis,nu,30,0.125,NA
sonorensis,nu,30,0.1,NA
sonorensis,nu,30,0.125,NA
sonorensis,nu,30,0.1,NA
sonorensis,nu,30,0.1,NA
sonorensis,nu,30,0.1,NA
sonorensis,nu,30,0.14285714285714285,NA
sonorensis,nu,15,0.05555555555555555,NA
sonorensis,nu,20,0.06944444444444445,NA
sonorensis,nu,25,0.13333333333333333,NA
sonorensis,nu,30,0.17543859649122806,NA
sonorensis,nu,15,0.038461538461538464,NA
sonorensis,nu,20,0.07692307692307693,NA
sonorensis,nu,25,0.06666666666666667,NA
sonorensis,nu,30,0.14285714285714285,NA
sonorensis,nu,15,0.05025125628140704,NA
sonorensis,nu,20,0.04950495049504951,NA
sonorensis,nu,25,0.1388888888888889,NA
sonorensis,nu,30,0.20833333333333334,NA
sonorensis,nu,20,0.054945054945054944,NA
sonorensis,nu,25,0.17543859649122806,NA
sonorensis,nu,30,0.20833333333333334,NA
sonorensis,rho,15,27.3,NA
sonorensis,rho,15,27.5,NA
sonorensis,rho,15,33.2,NA
sonorensis,rho,20,15.6,NA
sonorensis,rho,20,18.8,NA
sonorensis,rho,20,20.5,NA
sonorensis,rho,25,14.4,NA
sonorensis,rho,25,13.4,NA
sonorensis,rho,25,10.9,NA
sonorensis,rho,30,11.9,NA
sonorensis,rho,30,10.2,NA
sonorensis,rho,30,7.1,NA
variipennis,rho,20,63.6,NA
variipennis,rho,23,64.7,NA
variipennis,rho,27,61.4,NA
variipennis,rho,30,50.9,NA
variipennis,rho,35,57.1,NA
variipennis,rho,20,34.5,NA
variipennis,rho,23,33.6,NA
variipennis,rho,27,26.5,NA
variipennis,rho,30,24.4,NA
variipennis,rho,35,16.7,NA
variipennis,rho,20,89.7,NA
variipennis,rho,23,65.5,NA
variipennis,rho,27,50.6,NA
variipennis,rho,30,39.1,NA
variipennis,rho,35,38.8,NA
variipennis,rho,17,135.2,NA
variipennis,rho,20,77.6,NA
variipennis,rho,23,65.9,NA
variipennis,rho,27,51.4,NA
variipennis,rho,30,44,NA
variipennis,rho,17,38,NA
variipennis,rho,20,20,NA
variipennis,rho,23,16,NA
variipennis,rho,23,16,NA
variipennis,rho,27,14,NA
variipennis,rho,30,11,NA
variipennis,rho,17,119.4,NA
variipennis,rho,20,85,NA
variipennis,rho,23,65.2,NA
variipennis,rho,27,49.1,NA
variipennis,rho,30,41.3,NA
sonorensis,p,15,0.96,NA
sonorensis,p,15,0.96,NA
sonorensis,p,15,0.97,NA
sonorensis,p,20,0.94,NA
sonorensis,p,20,0.95,NA
sonorensis,p,20,0.95,NA
sonorensis,p,25,0.93,NA
sonorensis,p,25,0.93,NA
sonorensis,p,25,0.91,NA
sonorensis,p,30,0.92,NA
sonorensis,p,30,0.91,NA
sonorensis,p,30,0.87,NA
variipennis,p,20,0.23,5
variipennis,p,23,0.634,5
variipennis,p,27,0.588,5
variipennis,p,30,0.68,5
variipennis,p,35,0.177,5
variipennis,p,20,0.14,5
variipennis,p,23,0.17600000000000002,5
variipennis,p,27,0.10400000000000001,5
variipennis,p,30,0.16,5
variipennis,p,35,0.18,5
variipennis,p,20,0.8,5
variipennis,p,23,0.877,5
variipennis,p,27,0.943,5
variipennis,p,30,0.9440000000000001,5
variipennis,p,35,0.889,5
sonorensis,b,15,0,NA
sonorensis,b,15,0.291,NA
sonorensis,b,15,0.969,NA
sonorensis,b,20,0,NA
sonorensis,b,20,0.389,NA
sonorensis,b,20,0.885,NA
sonorensis,b,20,1,NA
sonorensis,b,20,0.854,NA
sonorensis,b,20,0.045,NA
sonorensis,b,25,0.876,NA
sonorensis,b,25,0.885,NA
sonorensis,b,25,1,NA
sonorensis,b,25,0.854,NA
sonorensis,b,25,0.524,NA
sonorensis,b,25,0.182,NA
sonorensis,b,25,0.831,NA
sonorensis,b,25,0.498,NA
sonorensis,b,30,0.28,NA
sonorensis,b,30,0.358,NA
sonorensis,b,30,0.072,NA
sonorensis,b,30,0,NA
sonorensis,b,30,0.466,NA
sonorensis,b,15,0,NA
sonorensis,b,15,0.287,NA
sonorensis,b,20,0,NA
sonorensis,b,20,0.797,NA
sonorensis,b,20,0.879,NA
sonorensis,b,20,0.722,NA
sonorensis,b,20,0.066,NA
sonorensis,b,25,1,NA
sonorensis,b,30,0,NA
sonorensis,b,30,1,NA
sonorensis,b,30,0.394,NA
sonorensis,b,30,0.561,NA
sonorensis,b,15,0,NA
sonorensis,b,20,0,NA
sonorensis,b,20,0.383,NA
sonorensis,b,20,0.491,NA
sonorensis,b,20,0.934,NA
sonorensis,b,20,0.968,NA
sonorensis,b,20,0.724,NA
sonorensis,b,20,0.035,NA
sonorensis,b,20,0.118,NA
sonorensis,b,25,0.118,NA
sonorensis,b,25,0.951,NA
sonorensis,b,25,1,NA
sonorensis,b,30,0.069,NA
sonorensis,b,30,0.356,NA
sonorensis,b,30,0,NA
sonorensis,b,15,0.372,NA
sonorensis,b,15,0,NA
sonorensis,b,15,0.153,NA
sonorensis,b,20,0.94,NA
sonorensis,b,20,0.372,NA
sonorensis,b,20,0,NA
sonorensis,b,25,0.162,NA
sonorensis,b,25,0.372,NA
sonorensis,b,30,0.372,NA
sonorensis,b,30,0.307,NA
sonorensis,b,30,0.236,NA
sonorensis,b,30,0.904,NA
sonorensis,b,30,1,NA
